product_name,ram,rom,display,battery,processor,sim_type,discounted_price,actual_price
"Redmi 8 (Onyx Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Dual Sim,"₹8,999","10,999"
"Realme 5s (Crystal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,Dual Sim,"₹10,999","11,999"
"Mi 10000 mAh Power Bank (Fast Charging, 18 W)",,,,Lithium Polymer Battery | Micro Connector,,,"₹1,175","1,199"
"Redmi 8A (Ocean Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Dual Sim,"₹7,499","8,999"
"Redmi Note 7 Pro (Space Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Dual Sim,"₹10,999","15,999"
"Mi 10000 mAh Power Bank (Fast Charging, 18 W)",,,,Lithium Polymer Battery | Micro Connector,,,₹899,"1,199"
"Realme C3 (Frozen Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Helio G70 Processor,Dual Sim,"₹8,499","8,999"
"Redmi Go (Black, 8 GB)",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,3000 mAh Li Polymer Battery,Qualcomm Snapdragon 425 Processor,Dual Sim,"₹4,499","5,999"
"Redmi 8A (Midnight Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Dual Sim,"₹6,999","7,999"
"Realme C2 (Diamond Ruby, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Sim,"₹7,499","8,999"
"Realme C3 (Blazing Red, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Helio G70 Processor,Dual Sim,"₹7,499","7,999"
"Infinix Hot 8 (Shark Grey, 64 GB)",4 GB RAM | 64 GB ROM |,4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,5000 mAh Li-ion Polymer Battery,Helio P22 (MTK6762) Processor,Dual Sim,"₹7,999","8,999"
"Infinix Hot 8 (Quetzal Cyan, 64 GB)",4 GB RAM | 64 GB ROM |,4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,5000 mAh Li-ion Polymer Battery,Helio P22 (MTK6762) Processor,Dual Sim,"₹7,999","8,999"
