title,year,director,rating,running_time,genre_1,genre_2
The Shawshank Redemption ,1994,Frank Darabont,9.3,2h 22min,Drama,"14 October 1994 (USA)
"
Casino ,1995,Martin Scorsese,8.2,2h 58min,Crime,Drama
The Elephant Man ,1980,David Lynch,8.1,2h 4min,Biography,Drama
Gran Torino ,2008,Clint Eastwood,8.1,1h 56min,Drama,"9 January 2009 (USA)
"
Back to the Future ,1985,Robert Zemeckis,8.5,1h 56min,Adventure,Comedy
Die Hard ,1988,John McTiernan,8.2,2h 12min,Action,Thriller
Finding Nemo ,2003,Andrew Stanton,8.1,1h 40min,Animation,Adventure
Harry Potter and the Sorcerer's Stone ,2001,Chris Columbus,7.6,2h 32min,Adventure,Family
Dr. Strangelove ,1964,Stanley Kubrick,8.4,1h 35min,Comedy,"29 January 1964 (USA)
"
The Pianist ,2002,Roman Polanski,8.5,2h 30min,Biography,Drama
The Lives of Others ,2006,Florian Henckel von Donnersmarck,8.4,2h 17min,Drama,Mystery
Terminator 2: Judgment Day ,1991,James Cameron,8.5,2h 17min,Action,Sci-Fi
Raiders of the Lost Ark ,1981,Steven Spielberg,8.4,1h 55min,Action,Adventure
Apocalypse Now ,1979,Francis Ford Coppola,8.4,2h 27min,Drama,Mystery
Psycho ,1960,Alfred Hitchcock,8.5,1h 49min,Horror,Mystery
Princess Mononoke ,1997,Hayao Miyazaki,8.4,2h 14min,Animation,Adventure
Vertigo ,1958,Alfred Hitchcock,8.3,2h 8min,Mystery,Romance
American History X ,1998,Tony Kaye,8.5,1h 59min,Drama,"20 November 1998 (USA)
"
Once Upon a Time in America ,1984,Sergio Leone,8.4,3h 49min,Crime,Drama
3 Idiots ,2009,Rajkumar Hirani,8.4,2h 50min,Comedy,Drama
Citizen Kane ,1941,Orson Welles,8.3,1h 59min,Drama,Mystery
North by Northwest ,1959,Alfred Hitchcock,8.3,2h 16min,Adventure,Mystery
Amélie ,2001,Jean-Pierre Jeunet,8.3,2h 2min,Comedy,Romance
Oldboy ,2003,Chan-wook Park,8.4,1h 41min,Action,Drama
Star Wars: Episode VI - Return of the Jedi ,1983,Richard Marquand,8.3,2h 11min,Action,Adventure
The Shining ,1980,Stanley Kubrick,8.4,2h 26min,Drama,Horror
Requiem for a Dream ,2000,Darren Aronofsky,8.3,1h 42min,Drama,"15 December 2000 (USA)
"
American Beauty ,1999,Sam Mendes,8.3,2h 2min,Drama,"1 October 1999 (USA)
"
Braveheart ,1995,Mel Gibson,8.3,2h 58min,Biography,Drama
Django Unchained ,2012,Quentin Tarantino,8.4,2h 45min,Drama,Western
Aliens ,1986,James Cameron,8.3,2h 17min,Action,Adventure
Taare Zameen Par ,2007,Aamir Khan,8.4,2h 45min,Drama,Family
Paths of Glory ,1957,Stanley Kubrick,8.4,1h 28min,Drama,War
Modern Times ,1936,Charles Chaplin,8.5,1h 27min,Comedy,Drama
The Great Dictator ,1940,Charles Chaplin,8.4,2h 5min,Comedy,Drama
Cinema Paradiso ,1988,Giuseppe Tornatore,8.5,2h 35min,Drama,"23 February 1990 (USA)
"
Grave of the Fireflies ,1988,Isao Takahata,8.5,1h 29min,Animation,Drama
Rear Window ,1954,Alfred Hitchcock,8.4,1h 52min,Mystery,Thriller
Sunset Blvd. ,1950,Billy Wilder,8.4,1h 50min,Drama,Film-Noir
Zulu ,1964,Cy Endfield,7.7,2h 18min,Drama,History
Casablanca ,1942,Michael Curtiz,8.5,1h 42min,Drama,Romance
Young Frankenstein ,1974,Mel Brooks,8.0,1h 46min,Comedy,"15 December 1974 (USA)
"
WALL·E ,2008,Andrew Stanton,8.4,1h 38min,Animation,Adventure
X-Men ,2000,Bryan Singer,7.4,1h 44min,Action,Adventure
V for Vendetta ,2005,James McTeigue,8.2,2h 12min,Action,Drama
Up ,2009,Pete Docter,8.2,1h 36min,Animation,Adventure
Taken ,2008,Pierre Morel,7.8,1h 30min,Action,Thriller
Shrek ,2001,Andrew Adamson,7.8,1h 30min,Animation,Adventure
Ocean's Eleven ,2001,Steven Soderbergh,7.7,1h 56min,Crime,Thriller
