currency_pair,volume,last_price
BTC/USD,14 258 229.50 USD,9 675.00100 USD
ETH/USD,152 393.08 USD,209.97000 USD
BCH/USD,107 667.04 USD,261.69367 USD
LTC/USD,83 009.76 USD,47.52999 USD
DOGE/USD,41 072.39 USD,0.00258 USD
XEM/USD,14 820.45 USD,0.04078 USD
DASH/USD,14 548.30 USD,80.04167 USD
LSK/USD,12 617.73 USD,1.19557 USD
PZM/USD,4 913.20 USD,0.03772 USD
EMC/USD,2 217.21 USD,0.07490 USD
USDT/USD,1 840.17 USD,0.99487 USD
USD/RUR,1 210.51 USD,73.10698 RUR
VMR/USD,901.19 USD,0.14600 USD
EUR/USD,560.44 USD,1.07309 USD
NEO/USD,552.23 USD,10.71176 USD
YOC/USD,322.78 USD,0.00077 USD
CPC/USD,336.41 USD,0.02045 USD
ZEC/USD,296.55 USD,45.58246 USD
HB/USD,265.00 USD,0.00136 USD
XRP/USD,281.39 USD,0.21624 USD
ASAFE2/USD,232.53 USD,0.04650 USD
VRS/USD,236.65 USD,0.04077 USD
MDC/USD,218.53 USD,0.00110 USD
MCO/USD,178.71 USD,7.50000 USD
TRX/USD,158.46 USD,0.01614 USD
PLBT/USD,60.46 USD,1.37780 USD
ZRX/USD,49.41 USD,0.38160 USD
DGB/USD,44.78 USD,0.02099 USD
JWL/USD,32.34 USD,0.36504 USD
DMD/USD,31.05 USD,0.31572 USD
TRST/USD,32.25 USD,0.00573 USD
